"Cod_IBGE","Grande região","Município","Mun_Total de casos","Mun_Total de óbitos"
"3551702","Interior","Sertãozinho","20192","522"
"3551801","Interior","Sete Barras","2209","45"
"3551900","Interior","Severínia","2399","77"
"3552007","Interior","Silveiras","551","6"
"3552106","Interior","Socorro","5052","81"
"3552205","Interior","Sorocaba","87115","3040"
"3552304","Interior","Sud Mennucci","952","17"
"3552403","Interior","Sumaré","32315","901"
"3552551","Interior","Suzanápolis","377","12"
"3552601","Interior","Tabapuã","2365","64"
"3552700","Interior","Tabatinga","2041","60"
"3552908","Interior","Taciba","843","27"
"3553005","Interior","Taguaí","3220","44"
"3553104","Interior","Taiaçu","556","14"
"3553203","Interior","Taiúva","1037","18"
"3553302","Interior","Tambaú","3956","56"
"3553401","Interior","Tanabi","5632","128"
"3553500","Interior","Tapiraí","862","10"
"3553609","Interior","Tapiratiba","2485","35"
"3553658","Interior","Taquaral","381","12"
"3553708","Interior","Taquaritinga","7786","225"
"3553807","Interior","Taquarituba","4450","114"
"3553856","Interior","Taquarivaí","761","20"
"3553906","Interior","Tarabai","891","32"
"3553955","Interior","Tarumã","1790","55"
"3554003","Interior","Tatuí","13966","489"
"3554102","Interior","Taubaté","29776","1054"
"3554201","Interior","Tejupá","148","9"
"3554300","Interior","Teodoro Sampaio","3154","55"
"3554409","Interior","Terra Roxa","1180","33"
"3554508","Interior","Tietê","5717","123"
"3554607","Interior","Timburi","222","10"
"3554656","Interior","Torre de Pedra","191","11"
"3554706","Interior","Torrinha","1745","22"
"3554755","Interior","Trabiju","226","4"
"3554805","Interior","Tremembé","2781","59"
"3554904","Interior","Três Fronteiras","1161","35"
"3554953","Interior","Tuiuti","760","3"
"3555000","Interior","Tupã","7742","287"
"3555109","Interior","Tupi Paulista","2315","50"
"3555208","Interior","Turiúba","186","4"
"3555307","Interior","Turmalina","299","6"
"3555356","Interior","Ubarana","1372","22"
"3555406","Interior","Ubatuba","8530","149"
"3555505","Interior","Ubirajara","569","12"
"3555604","Interior","Uchoa","1530","32"
"3555703","Interior","União Paulista","267","6"
"3555802","Interior","Urânia","2103","41"
"3555901","Interior","Uru","265","5"
"3556008","Interior","Urupês","895","47"
"3556107","Interior","Valentim Gentil","3804","71"
"3556206","Interior","Valinhos","17243","461"
"3556305","Interior","Valparaíso","3699","85"
"3556354","Interior","Vargem","437","10"
"3556404","Interior","Vargem Grande do Sul","3404","110"
"3556503","Interior","Várzea Paulista","9694","284"
"3556602","Interior","Vera Cruz","681","40"
"3556701","Interior","Vinhedo","11608","223"
"3556800","Interior","Viradouro","2388","96"
"3556909","Interior","Vista Alegre do Alto","1551","21"
"3556958","Interior","Vitória Brasil","590","10"
"3557006","Interior","Votorantim","12245","547"
"3557105","Interior","Votuporanga","16525","484"
"3557154","Interior","Zacarias","273","12"
"3557204","Interior","Chavantes","2055","54"
"3557303","Interior","Estiva Gerbi","1006","35"
